xi              mu             p            mu_min          mu_max          p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t    ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*      kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
0.071969        6.35990        0.245        5.818130        6.437277        0.245        0.245        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        0.04        5.04        0.75        1.236        1.113        1.45      -49.80        2.45        5.17         0        1.99        2.65        3.02        0.00        0.00        0.73        0.0455        5.37        5.52        7.4        0.0        0.000        0.00        0.00        2.71        2.43        2.4        0.30        1.18       -0.20        1.18
0.071969        7.69070        0.163        7.414253        7.967061        0.163        0.163        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        0.02        5.55        0.76        0.904        0.927        0.63       41.53        1.63       11.90         0        2.07        2.78        3.24        0.00        0.00        0.75        0.0365        5.26        5.53        7.3        0.0        0.000        0.00        0.00        2.65        3.15        3.2        0.31        1.04       -0.16        1.17
0.071969        7.84820        0.163        7.823076        8.627479        0.163        0.163        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        0.02        5.60        0.76        0.913        0.937        0.63       41.92        1.63       11.90         0        2.07        2.78        3.21        0.00        0.00        0.75        0.0362        5.24        5.46        7.5        0.0        0.000        0.00        0.00        2.65        3.13        3.1        0.30        1.05       -0.16        1.17
0.056899        4.11610        0.490        3.679271        4.378265        0.490        0.490        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        0.14        4.06        0.75        1.988        1.599        3.90      -11.02        4.90        1.92         0        1.83        2.34        2.61        0.00        0.00        0.69        0.0568        6.77        7.05       10.1        0.0        0.000        0.00        0.00        3.14        2.17        2.2        0.30        1.51       -0.34        1.20
0.056899        0.04930        1.143        0.045591        0.054619        1.143        1.143        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        4.57        0.44        0.97        0.508        0.407       10.43       -3.89       11.43        0.72         1        2.36        2.72        2.76        0.00        0.00        0.77        0.5907        8.48       10.65       16.2        0.0        0.000        0.00        0.00        3.06        1.64        1.6        0.54        3.09       -4.59        1.72
0.056899        0.06650        0.980        0.066135        0.072336        0.980        0.980        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        3.31        0.52        0.97        0.505        0.367        8.80      -12.51        9.80        0.85         1        2.48        2.85        3.20        0.00        0.00        0.80        0.4681        8.58       11.26       16.1        0.0        0.000        0.00        0.00        1.89        1.26        1.3        0.59        1.83       -3.67        1.46
0.056899        0.06920        0.898        0.069151        0.072564        0.898        0.898        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        2.95        0.53        0.97        0.472        0.331        7.98      -29.14        8.98        0.94         1        2.51        2.87        3.33        0.00        0.00        0.82        0.4300        8.58       11.51       16.1        0.0        0.000        0.00        0.00        1.62        1.08        1.1        0.62        1.47       -3.36        1.37
0.056899        2.40170        0.816        2.359687        2.604179        0.816        0.816        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        0.36        3.10        0.77        2.529        2.054        7.16       -7.47        8.16        1.05         0        1.65        2.17        2.24        0.00        0.00        0.66        0.0902        7.10        7.19       10.7        0.0        0.000        0.00        0.00        3.27        1.77        1.8        0.31        1.87       -0.57        1.22
0.056899        2.73930        0.735        2.596191        3.105014        0.735        0.735        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        0.29        3.31        0.76        2.433        1.957        6.35       -7.99        7.35        1.18         0        1.69        2.20        2.33        0.00        0.00        0.67        0.0810        7.01        7.13       10.5        0.0        0.000        0.00        0.00        3.24        1.85        1.8        0.30        1.78       -0.51        1.22
0.056899        3.13100        0.653        2.883086        3.493372        0.653        0.653        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        0.24        3.54        0.76        2.311        1.850        5.53       -8.70        6.53        1.36         0        1.73        2.24        2.41        0.00        0.00        0.67        0.0724        6.92        7.09       10.4        0.0        0.000        0.00        0.00        3.20        1.93        1.9        0.30        1.69       -0.45        1.21
0.056899        3.58130        0.571        3.506367        3.906140        0.571        0.571        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        0.19        3.78        0.75        2.161        1.728        4.71       -9.61        5.71        1.59         0        1.78        2.28        2.52        0.00        0.00        0.68        0.0644        6.85        7.07       10.1        0.0        0.000        0.00        0.00        3.17        2.04        2.0        0.30        1.60       -0.39        1.21
0.056899        0.06060        1.061        0.051518        0.061720        1.061        1.061        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        3.79        0.49        0.97        0.522        0.396        9.61       -6.42       10.61        0.78         1        2.44        2.80        3.01        0.00        0.00        0.78        0.5156        8.55       10.98       16.2        0.0        0.000        0.00        0.00        2.32        1.46        1.5        0.57        2.32       -4.04        1.57
