xi              mu             p            mu_min         mu_max         p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t    ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*       kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
0.126477        0.00280        3.190        0.00261        0.00314        3.116        3.263        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0       28.64        0.05        0.99        0.170        0.050       30.89       18.92       31.89        0.97         4        2.90        3.09        3.21        4.16        1.12        0.840        2.4723        3.98        4.35        6.8        0.1        0.041        2.18        0.90     2322.84    53615.92   606185.3        0.46        4.48       -7.61        2.34
0.126477        0.09630        2.404        0.09633        0.11382        2.176        2.631        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0        3.60        0.31        0.97        0.746        0.234       23.04       32.27       24.04        1.30         1        2.29        2.66        3.35        9.17        1.10        0.861        0.3809        4.17        5.62        6.7        0.7        0.272        2.19        2.01        2.56        3.18        3.2        0.55        1.12       -1.23        1.28
0.126477        0.09190        2.533        0.08532        0.09614        2.282        2.617        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0        3.90        0.30        0.97        0.768        0.241       24.33    -4640.17       25.33        1.23         1        2.26        2.64        3.34        8.91        1.16        0.854        0.4017        4.14        5.52        6.0        1.1        0.362        2.19        1.95        2.70        3.58        3.6        0.53        1.25       -1.26        1.30
0.126477        0.09180        2.519        0.08786        0.09466        2.403        2.635        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0        3.88        0.30        0.97        0.763        0.239       24.19      677.74       25.19        1.24         1        2.26        2.64        3.33        9.33        1.16        0.855        0.4003        4.14        5.53        6.0        1.9        0.459        2.20        2.05        2.79        4.34        4.3        0.53        1.23       -1.26        1.30
0.126477        0.00600        3.040        0.00572        0.00636        2.848        3.231        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0       18.72        0.08        0.99        0.235        0.069       29.39       10.75       30.39        1.02         3        2.81        3.02        3.25        4.76        1.12        0.845        1.6415        4.07        4.61        6.9        0.4        0.195        2.18        1.04      574.15    22758.87   429193.3        0.49        3.00       -5.18        1.88
0.126477        0.00280        3.134        0.00273        0.00291        2.943        3.324        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0       28.22        0.05        0.99        0.166        0.049       30.34        7.32       31.34        0.99         4        2.90        3.10        3.23        4.21        1.12        0.842        2.4497        4.00        4.40        6.9        0.2        0.106        2.18        0.92     2544.29    61822.49   711386.1        0.47        4.31       -7.60        2.30
0.126477        0.00600        3.024        0.00534        0.00601        2.887        3.161        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0       18.64        0.08        0.99        0.234        0.068       29.24        9.79       30.24        1.03         3        2.81        3.02        3.25        4.78        1.12        0.846        1.6369        4.07        4.62        6.9        0.4        0.191        2.19        1.04      575.91    22935.56   435287.1        0.50        2.97       -5.18        1.87
0.126477        0.00160        3.479        0.00157        0.00163        3.295        3.663        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0       41.44        0.04        0.99        0.140        0.042       33.79       24.06       34.79        0.89         5        2.91        3.10        3.11        3.70        1.12        0.827        3.4560        3.74        3.84        6.3        0.3        0.141        2.11        0.78     4043.07    46009.43   311996.7        0.37        7.20       -9.83        3.15
0.126477        0.00160        3.333        0.00149        0.00165        3.080        3.368        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0       39.94        0.04        0.99        0.133        0.040       32.33      -51.05       33.33        0.93         5        2.94        3.12        3.16        3.80        1.12        0.834        3.3911        3.84        4.04        6.5        0.1        0.055        2.14        0.82     4420.39    44242.02   287607.2        0.41        6.50       -9.98        2.96
0.114742        0.00290        3.148        0.00253        0.00289        3.030        3.502        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0       28.17        0.05        0.99        0.168        0.050       30.48       11.24       31.48        0.98         4        2.93        3.11        3.26        4.40        1.12        0.841        2.2271        4.35        4.98        7.7        0.7        0.292        2.27        1.00     3465.54    74312.75   860977.0        0.48        4.05       -7.72        2.23
